policy_id,period,region,line_of_business,gross_written_premium,net_earned_premium,losses,claims_paid,loss_ratio,combined_ratio,premium_rate,exposure
TRT-001,2024-01-01,North America,Property,12000000,9500000,5400000,4200000,0.57,0.91,0.065,850
TRT-002,2024-01-01,Europe,Engineering,7800000,6700000,3200000,2400000,0.48,0.83,0.058,650
TRT-003,2024-02-01,Asia,Motor,6400000,5200000,3800000,3100000,0.73,1.05,0.072,520
TRT-004,2024-02-01,Latin America,Marine,5600000,4800000,2200000,1700000,0.46,0.78,0.052,430
TRT-005,2024-03-01,North America,Accident & Health,3400000,2800000,1400000,1050000,0.50,0.76,0.048,320
TRT-006,2024-03-01,Europe,Property,11300000,9200000,6100000,4700000,0.66,0.95,0.067,810
TRT-007,2024-04-01,Asia,Engineering,8500000,7200000,3600000,2750000,0.50,0.84,0.060,580
TRT-008,2024-04-01,North America,Motor,6900000,5600000,4100000,3300000,0.73,1.02,0.070,540
TRT-009,2024-05-01,Europe,Marine,6100000,5200000,2400000,1800000,0.46,0.80,0.053,450
TRT-010,2024-05-01,Asia,Property,12500000,10200000,6400000,5000000,0.63,0.93,0.068,900
TRT-011,2024-06-01,North America,Engineering,8100000,7000000,3600000,2850000,0.51,0.86,0.062,600
TRT-012,2024-06-01,Latin America,Motor,7200000,5800000,4300000,3500000,0.74,1.07,0.073,560
TRT-013,2024-07-01,Europe,Accident & Health,3800000,3100000,1600000,1200000,0.52,0.78,0.049,340
TRT-014,2024-07-01,North America,Marine,5900000,5100000,2500000,1900000,0.49,0.82,0.054,440
TRT-015,2024-08-01,Asia,Property,11800000,9500000,5900000,4600000,0.62,0.92,0.067,880
TRT-016,2024-08-01,Europe,Engineering,8200000,7200000,3800000,3000000,0.53,0.88,0.063,610
TRT-017,2024-09-01,North America,Motor,7100000,5900000,4200000,3400000,0.71,1.03,0.071,560
TRT-018,2024-09-01,Asia,Marine,6300000,5400000,2600000,2000000,0.48,0.79,0.055,460
TRT-019,2024-10-01,Europe,Property,11900000,9600000,6000000,4700000,0.63,0.94,0.068,890
TRT-020,2024-10-01,Latin America,Engineering,8000000,6900000,3600000,2800000,0.52,0.86,0.061,590
TRT-021,2024-11-01,North America,Accident & Health,3600000,3000000,1500000,1150000,0.50,0.77,0.049,330
TRT-022,2024-11-01,Europe,Motor,7300000,6000000,4400000,3600000,0.73,1.06,0.074,570
TRT-023,2024-12-01,Asia,Property,12200000,9800000,6200000,4900000,0.63,0.95,0.069,910
TRT-024,2025-01-01,North America,Engineering,8600000,7400000,3900000,3100000,0.53,0.87,0.064,620
TRT-025,2025-01-01,Europe,Marine,6500000,5600000,2700000,2100000,0.48,0.81,0.056,470
TRT-026,2025-02-01,Latin America,Property,12100000,9700000,6100000,4800000,0.63,0.94,0.068,905
TRT-027,2025-02-01,Asia,Engineering,8300000,7100000,3800000,2950000,0.54,0.88,0.063,605
TRT-028,2025-03-01,North America,Motor,7400000,6100000,4500000,3700000,0.74,1.08,0.075,580
TRT-029,2025-03-01,Europe,Accident & Health,4000000,3300000,1700000,1300000,0.52,0.79,0.050,350
TRT-030,2025-04-01,Asia,Marine,6600000,5700000,2800000,2200000,0.49,0.82,0.056,480
TRT-031,2025-04-01,Latin America,Property,12300000,9900000,6300000,5000000,0.64,0.96,0.069,920
TRT-032,2025-05-01,North America,Engineering,8700000,7600000,4000000,3200000,0.53,0.87,0.064,625
TRT-033,2025-05-01,Europe,Motor,7500000,6200000,4600000,3800000,0.74,1.09,0.076,590
TRT-034,2025-06-01,Asia,Accident & Health,4200000,3500000,1800000,1350000,0.51,0.78,0.050,360
TRT-035,2025-06-01,North America,Marine,6700000,5800000,2900000,2300000,0.50,0.83,0.057,490
TRT-036,2025-07-01,Latin America,Property,12400000,10100000,6400000,5100000,0.63,0.95,0.069,930
TRT-037,2025-07-01,Europe,Engineering,8800000,7700000,4100000,3300000,0.53,0.87,0.064,630
TRT-038,2025-08-01,Asia,Motor,7600000,6300000,4700000,3900000,0.75,1.10,0.077,600
TRT-039,2025-08-01,North America,Accident & Health,4400000,3600000,1900000,1400000,0.53,0.79,0.051,370
TRT-040,2025-09-01,Europe,Marine,6800000,5900000,3000000,2400000,0.51,0.84,0.058,500
